diamond_id,shape,size,color,clarity,cut,symmetry,polish,depth_percent,table_percent,meas_length,meas_width,meas_depth,girdle_min,girdle_max,girdle_condition,culet_size,fluor_color,fluor_intensity,has_cert_file,lab,has_video,eye_clean,has_image_file,has_sarineloupe,ratio,is_bgm,shade,milky,Total_Price
161193854,Round,0.7,F,I1,Very Good,Very Good,Excellent,65.1,57,5.49,5.53,3.59,STK,TK,,N,,Strong,FALSE,IGI,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1128.5
164031577,Round,0.7,F,I1,Very Good,Excellent,Excellent,59.9,60,5.7,5.74,3.42,STK,TK,,N,,None,FALSE,IGI,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1128.5
156188338,Round,0.7,F,I1,Very Good,Very Good,Very Good,64.9,57,5.48,5.55,3.58,TK,TK,,N,,Very Slight,FALSE,IGI,TRUE,No,TRUE,FALSE,0,TRUE,None,None,1128.5
164079457,Round,0.7,K,VVS2,Good,Very Good,Excellent,65.9,57,5.45,5.49,3.6,STK,TK,,N,,Very Slight,FALSE,IGI,TRUE,No,TRUE,FALSE,0,TRUE,None,None,1128.5
167835308,Round,0.5,I,SI1,Excellent,Excellent,Excellent,61.6,57,5.07,5.09,3.13,M,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1128.5
155427945,Cushion Modified,0.7,K,VS2,,Excellent,Excellent,69.6,64,5.03,4.75,3.3,STK,VTK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,1.059,TRUE,None,None,1128.5
165509563,Round,0.5,F,SI2,Excellent,Excellent,Excellent,61.7,58,5.07,5.08,3.14,M,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1130.35
155428134,Round,0.6,J,VS1,Excellent,Very Good,Excellent,62.7,57,5.36,5.39,3.37,M,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1130.35
164227788,Round,0.55,F,SI2,Excellent,Excellent,Excellent,61,57,5.28,5.3,3.23,M,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1130.35
155430155,Round,0.74,J,I1,Excellent,Excellent,Excellent,60.8,58,5.82,5.85,3.55,M,STK,,N,,Faint,FALSE,GIA,TRUE,Borderline,TRUE,FALSE,0,TRUE,None,None,1130.35
155431593,Round,0.53,D,SI1,Excellent,Excellent,Excellent,62,57,5.17,5.19,3.22,M,STK,,N,Blue,Strong,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1130.35
155430062,Round,0.7,H,SI2,Fair,Very Good,Excellent,69,54,5.31,5.39,3.69,TK,VTK,,N,,None,FALSE,IGI,TRUE,Borderline,TRUE,FALSE,0,TRUE,None,None,1132.2
